Length, Plain, Bcrypt, Argon2, Avg. Change (Bcrypt), Avg. Change (Argon2)
8, 2.9239, 5.1043, 5.4595, 2.1805, 2.5356
9, 3.0855, 5.1004, 5.4584, 2.0148, 2.3729
10, 3.2300, 5.1036, 5.4519, 1.8735, 2.2219
11, 3.3559, 5.1042, 5.4567, 1.7484, 2.1009
12, 3.4673, 5.1059, 5.4573, 1.6386, 1.9899
